GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1297792619,20260406,202604,2026,2026.2630,HLH,HOSPITAL,,,,,,HLH,,,,,,,,,,,,,0,020,020,02,1,3.0,2,1,2,-2.74111675126904,4,"Amritsar, Punjab, India",IN,IN23,31.6331,74.8656,-2088794,0,,,,,,,4,"Amritsar, Punjab, India",IN,IN23,31.6331,74.8656,-2088794,20260406,https://indianexpress.com/article/cities/chandigarh/punjab-mental-health-crisis-policies-care-out-of-reach-families-10621541/
1297792622,20260406,202604,2026,2026.2630,HLH,DOCTOR,,,,,,HLH,,,,,,,,,,,,,1,051,051,05,1,3.4,7,2,7,-1.07381267661392,1,India,IN,IN,20,77,IN,0,,,,,,,1,India,IN,IN,20,77,IN,20260406,https://www.indianweekender.co.nz/news/rotorua-hospital-welcomes-two-overseas-trained-doctors-into-gp-training-programme
1297792634,20260406,202604,2026,2026.2630,IDN,BALI,IDN,,,,,,,,,,,,,,,,,,1,010,010,01,1,0.0,4,1,4,2.9038112522686,4,"Bali, Goa, India",IN,IN33,15.1667,74.0333,-2089967,0,,,,,,,4,"Bali, Goa, India",IN,IN33,15.1667,74.0333,-2089967,20260406,http://www.shanghainews.net/news/278962351/himachal-tourism-sees-record-growth-major-infrastructure-push-underway-hptdc-chairman-rs-bali
1297792635,20260406,202604,2026,2026.2630,IDN,BALI,IDN,,,,,,,,GOV,GOVERNMENT,,,,,,GOV,,,0,010,010,01,1,0.0,6,1,6,2.9038112522686,4,"Bali, Goa, India",IN,IN33,15.1667,74.0333,-2089967,4,"Bali, Goa, India",IN,IN33,15.1667,74.0333,-2089967,4,"Bali, Goa, India",IN,IN33,15.1667,74.0333,-2089967,20260406,http://www.shanghainews.net/news/278962351/himachal-tourism-sees-record-growth-major-infrastructure-push-underway-hptdc-chairman-rs-bali
1297792647,20260406,202604,2026,2026.2630,IND,AMRITSAR,IND,,,,,,,,,,,,,,,,,,0,020,020,02,1,3.0,1,1,1,-2.74111675126904,4,"Amritsar, Punjab, India",IN,IN23,31.6331,74.8656,-2088794,0,,,,,,,4,"Amritsar, Punjab, India",IN,IN23,31.6331,74.8656,-2088794,20260406,https://indianexpress.com/article/cities/chandigarh/punjab-mental-health-crisis-policies-care-out-of-reach-families-10621541/
1297792648,20260406,202604,2026,2026.2630,IND,AMRITSAR,IND,,,,,,,,HLH,HOSPITAL,,,,,,HLH,,,0,020,020,02,1,3.0,3,1,3,-2.74111675126904,4,"Amritsar, Punjab, India",IN,IN23,31.6331,74.8656,-2088794,4,"Amritsar, Punjab, India",IN,IN23,31.6331,74.8656,-2088794,4,"Amritsar, Punjab, India",IN,IN23,31.6331,74.8656,-2088794,20260406,https://indianexpress.com/article/cities/chandigarh/punjab-mental-health-crisis-policies-care-out-of-reach-families-10621541/
1297792650,20260406,202604,2026,2026.2630,IND,DELHI,IND,,,,,,,,MED,JOURNALIST,,,,,,MED,,,1,120,120,12,3,-4.0,6,1,6,-6.33484162895928,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,20260406,https://www.barandbench.com/news/delhi-hc-rejects-journalists-plea-against-removal-of-x-post-identifying-man-who-harassed-her-on-flight
1297792660,20260406,202604,2026,2026.2630,IRN,IRAN,IRN,,,,,,,,AFR,AFRICA,AFR,,,,,,,,0,012,012,01,1,-0.4,1,1,1,-5.44488711819389,1,Iran,IR,IR,32,53,IR,4,"New Delhi, Delhi, India",IN,IN07,28.6,77.2,-2106102,1,Iran,IR,IR,32,53,IR,20260406,http://www.shanghainews.net/news/278959451/this-is-a-catastrophe-geopolitical-risk-advisor-col-retd-douglas-macgregor-tears-into-trump-iran-speech
1297792662,20260406,202604,2026,2026.2630,IRN,IRAN,IRN,,,,,,,,AFR,AFRICA,AFR,,,,,,,,0,130,130,13,3,-4.4,2,1,2,-5.44488711819389,1,Iran,IR,IR,32,53,IR,4,"New Delhi, Delhi, India",IN,IN07,28.6,77.2,-2106102,1,Iran,IR,IR,32,53,IR,20260406,http://www.shanghainews.net/news/278959451/this-is-a-catastrophe-geopolitical-risk-advisor-col-retd-douglas-macgregor-tears-into-trump-iran-speech
1297792673,20260406,202604,2026,2026.2630,IRN,IRANIAN,IRN,,,,,,,,GOV,MINIST,,,,,,GOV,,,1,040,040,04,1,1.0,1,1,1,-3.36448598130841,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,4,"New Delhi, Delhi, India",IN,IN07,28.6,77.2,-2106102,4,"New Delhi, Delhi, India",IN,IN07,28.6,77.2,-2106102,20260406,http://www.asiabulletin.com/news/278965662/eam-jaishankar-receives-call-from-iran-fm-araghchi-discuss-west-asia-tensions
